vset	V(vmeas)	I(R3)
3.940000000000003e-01	7.150591e-01	1.969990e+00
3.950000000000003e-01	7.150573e-01	1.974990e+00
3.960000000000003e-01	7.150555e-01	1.979990e+00
3.970000000000003e-01	7.150537e-01	1.984990e+00
3.980000000000003e-01	7.150519e-01	1.989990e+00
3.990000000000003e-01	7.150502e-01	1.994990e+00
4.000000000000003e-01	7.150484e-01	1.999990e+00
4.010000000000003e-01	7.150465e-01	2.004990e+00
4.020000000000003e-01	7.150447e-01	2.009990e+00
4.030000000000003e-01	7.150429e-01	2.014990e+00
4.040000000000003e-01	7.150412e-01	2.019990e+00
4.050000000000003e-01	7.150393e-01	2.024990e+00
4.060000000000003e-01	7.150375e-01	2.029990e+00
4.070000000000003e-01	7.150357e-01	2.034990e+00
4.080000000000003e-01	7.150339e-01	2.039990e+00
4.090000000000003e-01	7.150321e-01	2.044990e+00
4.100000000000003e-01	7.150303e-01	2.049990e+00
4.110000000000003e-01	7.150285e-01	2.054990e+00
4.120000000000003e-01	7.150266e-01	2.059990e+00
4.130000000000003e-01	7.150248e-01	2.064990e+00
4.140000000000003e-01	7.150230e-01	2.069990e+00
4.150000000000003e-01	7.150212e-01	2.074990e+00
4.160000000000003e-01	7.150193e-01	2.079990e+00
4.170000000000003e-01	7.150175e-01	2.084990e+00
4.180000000000003e-01	7.150157e-01	2.089990e+00
4.190000000000003e-01	7.150139e-01	2.094990e+00
4.200000000000003e-01	7.150120e-01	2.099990e+00
4.210000000000003e-01	7.150102e-01	2.104990e+00
4.220000000000003e-01	7.150084e-01	2.109990e+00
4.230000000000003e-01	7.150065e-01	2.114990e+00
4.240000000000003e-01	7.150047e-01	2.119990e+00
4.250000000000003e-01	7.150028e-01	2.124990e+00
4.260000000000003e-01	7.150010e-01	2.129990e+00
4.270000000000003e-01	7.149992e-01	2.134990e+00
4.280000000000003e-01	7.149974e-01	2.139990e+00
4.290000000000003e-01	7.149955e-01	2.144989e+00
4.300000000000003e-01	7.149937e-01	2.149990e+00
4.310000000000003e-01	7.149918e-01	2.154989e+00
4.320000000000003e-01	7.149900e-01	2.159990e+00
4.330000000000003e-01	7.149881e-01	2.164989e+00
4.340000000000003e-01	7.149862e-01	2.169990e+00
4.350000000000003e-01	7.149844e-01	2.174989e+00
4.360000000000003e-01	7.149825e-01	2.179990e+00
4.370000000000003e-01	7.149807e-01	2.184989e+00
4.380000000000003e-01	7.149788e-01	2.189990e+00
4.390000000000003e-01	7.149769e-01	2.194989e+00
4.400000000000003e-01	7.149751e-01	2.199990e+00
4.410000000000003e-01	7.149732e-01	2.204989e+00
4.420000000000003e-01	7.149713e-01	2.209990e+00
4.430000000000003e-01	7.149695e-01	2.214989e+00
4.440000000000003e-01	7.149676e-01	2.219990e+00
4.450000000000003e-01	7.149657e-01	2.224989e+00
4.460000000000003e-01	7.149639e-01	2.229990e+00
4.470000000000003e-01	7.149619e-01	2.234989e+00
4.480000000000003e-01	7.149601e-01	2.239990e+00
4.490000000000003e-01	7.149582e-01	2.244989e+00
4.500000000000003e-01	7.149563e-01	2.249990e+00
4.510000000000003e-01	7.149544e-01	2.254989e+00
4.520000000000003e-01	7.149525e-01	2.259990e+00
4.530000000000003e-01	7.149507e-01	2.264989e+00
4.540000000000003e-01	7.149488e-01	2.269989e+00
4.550000000000003e-01	7.149469e-01	2.274989e+00
4.560000000000003e-01	7.149450e-01	2.279989e+00
4.570000000000004e-01	7.149431e-01	2.284989e+00
4.580000000000004e-01	7.149412e-01	2.289989e+00
4.590000000000004e-01	7.149393e-01	2.294989e+00
4.600000000000004e-01	7.149374e-01	2.299989e+00
4.610000000000004e-01	7.149355e-01	2.304989e+00
4.620000000000004e-01	7.149336e-01	2.309989e+00
4.630000000000004e-01	7.149317e-01	2.314989e+00
4.640000000000004e-01	7.149298e-01	2.319989e+00
4.650000000000004e-01	7.149279e-01	2.324989e+00
4.660000000000004e-01	7.149259e-01	2.329989e+00
4.670000000000004e-01	7.149240e-01	2.334989e+00
4.680000000000004e-01	7.149221e-01	2.339989e+00
4.690000000000004e-01	7.149202e-01	2.344989e+00
4.700000000000004e-01	7.149183e-01	2.349989e+00
4.710000000000004e-01	7.149164e-01	2.354989e+00
4.720000000000004e-01	7.149145e-01	2.359989e+00
4.730000000000004e-01	7.149125e-01	2.364989e+00
4.740000000000004e-01	7.149106e-01	2.369989e+00
4.750000000000004e-01	7.149087e-01	2.374989e+00
4.760000000000004e-01	7.149068e-01	2.379989e+00
4.770000000000004e-01	7.149048e-01	2.384989e+00
4.780000000000004e-01	7.149029e-01	2.389989e+00
4.790000000000004e-01	7.149010e-01	2.394989e+00
4.800000000000004e-01	7.148991e-01	2.399989e+00
4.810000000000004e-01	7.148971e-01	2.404989e+00
4.820000000000004e-01	7.148952e-01	2.409989e+00
4.830000000000004e-01	7.148932e-01	2.414989e+00
4.840000000000004e-01	7.148913e-01	2.419989e+00
4.850000000000004e-01	7.148893e-01	2.424989e+00
4.860000000000004e-01	7.148874e-01	2.429989e+00
4.870000000000004e-01	7.148855e-01	2.434989e+00
4.880000000000004e-01	7.148835e-01	2.439989e+00
4.890000000000004e-01	7.148815e-01	2.444989e+00
4.900000000000004e-01	7.148796e-01	2.449989e+00
4.910000000000004e-01	7.148777e-01	2.454989e+00
4.920000000000004e-01	7.148757e-01	2.459989e+00
4.930000000000004e-01	7.148737e-01	2.464989e+00
4.940000000000004e-01	7.148718e-01	2.469989e+00
4.950000000000004e-01	7.148698e-01	2.474989e+00
4.960000000000004e-01	7.148678e-01	2.479989e+00
4.970000000000004e-01	7.148659e-01	2.484989e+00
4.980000000000004e-01	7.148639e-01	2.489989e+00
4.990000000000004e-01	7.148619e-01	2.494989e+00
5.000000000000003e-01	7.148600e-01	2.499989e+00
5.010000000000003e-01	7.148580e-01	2.504989e+00
5.020000000000003e-01	7.148560e-01	2.509989e+00
5.030000000000003e-01	7.148541e-01	2.514989e+00
5.040000000000003e-01	7.148520e-01	2.519989e+00
5.050000000000003e-01	7.148501e-01	2.524989e+00
5.060000000000003e-01	7.148481e-01	2.529989e+00
5.070000000000003e-01	7.148461e-01	2.534989e+00
5.080000000000003e-01	7.148441e-01	2.539989e+00
5.090000000000003e-01	7.148421e-01	2.544989e+00
5.100000000000003e-01	7.148402e-01	2.549989e+00
5.110000000000003e-01	7.148381e-01	2.554989e+00
5.120000000000003e-01	7.148362e-01	2.559989e+00
5.130000000000003e-01	7.148342e-01	2.564989e+00
5.140000000000003e-01	7.148322e-01	2.569989e+00
